STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
CO,2006-01-01,0.3518156424581005,6.254189944134078,1.5445454545454544,63.02559694057251,-5.550558659217877,11.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
CO,2006-01-02,-0.5210164835164836,6.775616438356164,0.7379379379379378,55.35084321298852,-7.814835164835165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-03,0.7598337950138504,7.125690607734807,0.4865213082259663,50.12041789353845,-5.686776859504133,5.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,2006-01-04,-1.814520547945205,5.183013698630137,0.4695952615992103,60.26814895557492,-8.812054794520549,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-05,-2.9367036011080336,4.764364640883978,0.2738658777120315,53.205442159389285,-10.667679558011049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-06,0.3535714285714286,8.541208791208792,0.1585,46.58115334463398,-7.830410958904109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-07,2.829271708683473,11.108635097493035,0.0732741617357002,40.85596272181778,-5.501939058171745,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-08,-0.3081005586592178,7.001392757660168,0.4942495126705652,45.81064094526563,-7.722375690607735,9.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CO,2006-01-09,-4.537047353760445,2.453203342618385,0.7745971563981042,61.22931408144639,-11.576923076923077,11.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
CO,2006-01-10,-4.046378830083566,3.725833333333333,0.1236030828516377,49.15763787851797,-11.914285714285716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-11,-0.5157458563535912,7.288674033149171,0.1346938775510204,39.113677411435305,-8.373698630136987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-12,-2.6570637119113574,4.37562326869806,0.5544754571703562,47.459745060611006,-9.816666666666666,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
CO,2006-01-13,-3.740745856353592,5.118457300275482,0.2730049261083743,48.3129656712196,-12.623497267759562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-14,0.3876044568245125,8.784122562674094,0.1155466399197592,45.95443589913909,-8.036288088642658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-15,-0.6648199445983379,6.6146408839779,0.2831142568250758,47.89872489829904,-8.044230769230769,8.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CO,2006-01-16,-5.306648199445983,1.4165289256198348,1.0691625615763547,64.58846916533157,-12.114088397790056,11.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
CO,2006-01-17,-6.869722222222222,1.1347107438016528,0.5051808406647116,54.0303155772117,-14.98121546961326,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-18,-1.6627423822714682,4.954972375690608,0.6445086705202312,51.72862462486761,-8.361538461538462,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-19,-2.6567123287671235,3.239452054794521,1.7605887939221272,65.30302783066891,-8.56584699453552,23.0,7.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,5.0
CO,2006-01-20,-7.776933701657459,-1.109065934065934,4.857685352622061,76.52003056819566,-14.499449035812672,21.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0
CO,2006-01-21,-8.779189944134078,-0.6495821727019498,0.1470588235294117,60.31300103926736,-16.97146814404432,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2006-01-22,-8.292382271468144,-0.3314917127071823,0.0716024340770791,62.139179970346206,-16.31404958677686,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-23,-7.668219178082192,1.2342465753424658,0.17300796812749,54.5926088656336,-16.59618528610354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-24,-3.915890410958904,5.482786885245901,0.2186878727634194,50.83098922782626,-13.339782016348773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-25,-1.825824175824176,6.780769230769231,0.6216666666666667,51.38122139506633,-10.455737704918032,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
CO,2006-01-26,-2.1296448087431696,4.334877384196186,1.0285854616895873,61.82477903617231,-8.676294277929156,10.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CO,2006-01-27,-3.0579452054794523,4.240983606557378,0.2945490584737363,57.97780614564784,-10.40792349726776,11.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2006-01-28,-4.405509641873278,2.2410468319559227,0.523943661971831,58.08284494293212,-11.04808743169399,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CO,2006-01-29,-4.1991712707182325,1.037190082644628,0.8520080321285141,58.71369297888958,-9.483835616438355,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,2006-01-30,-2.5244535519125684,4.623433242506811,0.3983201581027668,57.7965812077935,-9.703269754768392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-01-31,-0.5734806629834254,6.606043956043956,0.262463054187192,59.88735356338133,-7.8461748633879775,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CO,2006-02-01,-0.7634615384615385,6.747397260273973,0.6608187134502924,66.11730190809759,-8.32431693989071,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,2006-02-02,-1.6622252747252746,3.88027397260274,1.1790900290416264,64.41681505213666,-7.280108991825614,11.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
CO,2006-02-03,-3.938767123287672,2.2098360655737705,0.850098231827112,58.28456461610801,-10.128142076502732,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-04,-2.600416666666667,5.177839335180056,0.4682604272634791,59.05302883696942,-10.45426997245179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-05,-3.605124653739612,2.887016574585635,0.5253507014028056,51.62004626611616,-10.18131868131868,7.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,2006-02-06,-5.2320163487738425,2.633967391304348,0.2867376573088093,50.444967447484174,-13.134239130434782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-07,-2.884478021978022,5.549315068493151,0.1083416087388282,41.83169354929741,-11.380054644808745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-08,-0.4179558011049724,8.425274725274726,0.0425574425574425,41.03334735948864,-9.3775956284153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-09,0.1448087431693989,10.076502732240437,0.0337301587301587,39.935849348988654,-9.816847826086956,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
CO,2006-02-10,-7.003434065934066,1.854246575342466,1.6167766258246936,56.113197520293255,-15.94141689373297,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
CO,2006-02-11,-10.831666666666669,-2.1612637362637366,0.120020120724346,45.11079827922639,-19.57423822714681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-12,-5.414697802197803,3.554098360655737,0.0642201834862385,37.787795687527776,-14.459562841530056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-13,-2.910445682451253,5.298611111111111,0.0302186878727634,41.33976836188231,-11.172375690607735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-14,-1.6457417582417582,7.022191780821918,0.2138693467336683,42.15313664024288,-10.368219178082192,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2006-02-15,-0.801917808219178,7.213623978201635,0.3974903474903475,55.76431573061181,-8.795628415300547,18.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
CO,2006-02-16,-8.113561643835617,-1.3374316939890711,2.8154061624649858,61.05763486723971,-14.939890710382514,21.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CO,2006-02-17,-9.889531680440772,-3.44532967032967,0.6216110019646365,62.14755302874581,-16.36027397260274,19.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CO,2006-02-18,-9.411570247933884,-2.6457300275482094,0.6898622047244094,67.75919676825079,-16.163561643835617,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
